name,words
인터파크홀딩스,"['홀딩스', '파크', '인터', '영업', '경제', '합병', '전년']"
성광벤드,"['1차 철강 제조업', '관이음쇠', '기계', '성광', '벤드', '경제', '영업', '전년', '이익', '증권']"
신풍제약,"['의약품 제조업', '의약품(항생제,혈전용해제,향정신성약품,구충제) 제조,판매', '제약', '신풍', '제약', '경제', '코로나', '매수', '외국인', '기관']"
남선알미늄,"['1차 비철금속 제조업', '알미늄샷시 제조/환경사업', '건축제품', '남선', '알미늄', '경제', '매수', '기관', '만주', '외국인']"
GV,"['전구 및 조명장치 제조업', 'CNC전용장비,LightPanel', '디스플레이장비및부품', 'LED', '공급', '규모', '시장', '태국', '골든', '조명']"
큐캐피탈,"['기타 금융업', '벤처투자', '창업투자', '캐피탈', '경제', '투자', '펀드', '서울', '제약', '인수']"
코윈테크,"['특수 목적용 기계 제조업', '공정 자동화 설비 (2차전지, 석유화학, 반도체 및 디스플레이)', '기계', '코윈', '테크', '경제', '전지', '자동', '영업', '올해']"
태광,"['1차 철강 제조업', '각종 배관자재, 관이음쇠류 제조 및 판매,발전기부품 및 판매업,반도체장비 제조업 및 무역도매', '화학', '광', '경제', '노르웨이', '지원', '은행', '치료', '네이버']"
예스코홀딩스,"['기타 금융업', '지주사업', '가스유틸리티', '스코', '홀딩스', '경제', '재무', '부담', '등급', '회장']"
지노믹트리,"['의료용품 및 기타 의약 관련제품 제조업', '암 조기진단 제품', '건강관리장비와용품', '지노', '트리', '진단', '미국', '경제', '코로나', '제품']"
GS,"['기타 금융업', '지주회사/부동산 임대', '석유와가스', '경제', '그룹', '샵', '회장', '기자', '지원', '방송']"
원익QnC,"['유리 및 유리제품 제조업', '석영유리가공제품', '반도체와반도체장비', '원익', 'QnC', '경제', '전망', 'YoY', '쿼츠', '투자']"
파루,"['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업', '온습도 조절기(에어쿨), 무인방제기(야호)', '에너지장비및서비스', '경제', '매출액', '영업', '전환', '뉴스', '외국인', '만주']"
화천기공,"['특수 목적용 기계 제조업', 'CNC선반,CNC밀링,연마기(금속공작기계),MC공작기계,COPY밀링기계,주방품 제조,도매', '기계', '경제', '영업', '헤럴드', '실적', '기자', '현금', '매출액']"
사람인에이치알,"['자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업', '온라인 채용광고(취업포털), 인재파견, 취업지원 등', '상업서비스와공급품', '사람인', '치알', '서비스', '기업', '채용', 'AI', '경제']"
팅크웨어,"['통신 및 방송 장비 제조업', '내비게이션,블랙박스,태블릿 및 위치정보서비스', '전자제품', '팅크', '블랙박스', '제품', '아이나비', '웨어', '기능', '가능']"
주연테크,"['컴퓨터 및 주변장치 제조업', '각종컴퓨터,주변기기 제조/소프트웨어 개발', '컴퓨터와주변기기', '주연', '테크', '경제', '매수', '외국인', '기관', '매출액']"
에스티팜,"['의약품 제조업', '원료의약품', '제약', '에스티', '경제', '만주', '기관', '외국인', '임상', 'STP']"
다스코,"['구조용 금속제품, 탱크 및 증기발생기 제조업', '데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업', '건축제품', '다스', '경제', '영업', '대비', '이익', '뉴스']"
썸에이지,"['소프트웨어 개발 및 공급업', '기업인수합병', '게임엔터테인먼트', '경제', '에이지', '증자', '유상', '자금', '발행', '게임']"
한올바이오파마,"['의약품 제조업', '의약품 제조,도매/부동산 임대', '제약', '바이오', '파마', '한올', '임상', '경제', 'HL', '결과']"
미래생명자원,"['동물용 사료 및 조제식품 제조업', '동물용 사료 및 조제식품 제조업', '식품', '자원', '생명', '미래', '경제', '업종', '외국인', '테마']"
동남합성,"['기초 화학물질 제조업', '계면활성제,정밀화학품 제조,도매/부동산 임대', '화학', '합성', '동남', '경제', '취득', '헤럴드', '영업', '전년']"
제우스,"['특수 목적용 기계 제조업', 'LCD제조용장비', '반도체와반도체장비', '경제', '공장', '매각', '통합', '사업장', '반도체', '구독']"
에스모 머티리얼즈,"['합성고무 및 플라스틱 물질 제조업', '반도체용EMC(EpoxyMoldingCompound)', '반도체와반도체장비', '스모', '머티', '리얼', '주주', '증자', '경제', '최대']"
티웨이홀딩스,"['시멘트, 석회, 플라스터 및 그 제품 제조업', '레미콘,콘크리트파일,완구 제조/미니어쳐테마파크 운영', '항공사', '경제', '웨이 ', '홀딩스', '차트', '주가', '외국인', '상승']"
서희건설,"['건물 건설업', '토목, 건축, 부동산임대업', '건설', '서희', '건설', '경제', '데일리', '조합', '지역', '수주']"
샘표식품,"['기타 식품 제조업', '간장', '식품', '식품', '경제', '차트', '코로나', '상승세', '정배', '중국']"
삼익THK,"['일반 목적용 기계 제조업', '직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수', '기계', 'THK', '삼익', '경제', '영업', '전년', '헤럴드', '매수']"
아이티엠반도체,"['전자부품 제조업', '배터리 보호회로', '전자장비와기기', '경제', '티엠', '반도체', '아이', '기관', '외국인', '만주']"
뉴인텍,"['전자부품 제조업', '콘덴서', '전기제품', '경제', '텍', '영업', '외국인', '실적', '매출액', '전환']"
롯데하이마트,"['가전제품 및 정보통신장비 소매업', '가전제품,잡화 도소매/부동산 임대', '전문소매', '이마트', '롯데', '경제', '가전', '온라인', '서비스', '매장']"
라파스,"['기타 화학제품 제조업', '마이크로니들 패치 제품(의약품패치, 의료기기패치, 미용패치 등)', '화장품', '경제', '패치', '마이크', '개발', '임상', '백신', '의약품']"
디아이동일,"['경제', '동일', 'DI', '처분', '구조', '산업', '공장']"
제일약품,"['의약품 제조업', '의약품', '제약', '약품', '경제', '개발', '치료제', '임상', '신약', '외국인']"
GS리테일,"['종합 소매업', '체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대', '백화점과일반상점', 'GS', '테일', '경제', '편의점', '상품', '영업', '증가']"
APS홀딩스,"['기타 금융업', '인터넷 트래픽 솔루션', '디스플레이장비및부품', 'APS', '홀딩스', '경제', 'FMM', '생산', '시설', '양산']"
동신건설,"['토목 건설업', '토목', '건설', '건설', '동신', '경제', '학교', '증축', '초등', '공사']"
큐브엔터,"['오디오물 출판 및 원판 녹음업', '음반음원, 콘서트, 아티스트매니지먼트', '방송과엔터테인먼트', '엔터', '큐브', '경제', '지엠피', '브이', '음원', '중국']"
두산건설,"['경제', '계약', '수주', '서울', '개발', '기자', '공사']"
삼부토건,"['토목 건설업', '토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조', '건설', '토건', '경제', '영업', '건설', '전환', '경영', '종합']"
동양철관,"['1차 철강 제조업', '수도용 도복장 강관,주물(강관말뚝),가스관 제조/아파트건설', '철강', '동양', '철관', '경제', '외국인', '기관', '강관', '공급']"
하나투어,"['여행사 및 기타 여행보조 서비스업', '일반여행알선,컴퓨터프로그램 개발,보급,통신판매', '호텔,레스토랑,레저', '투어', '여행', '경제', '코로나', 'IMM', 'PE', '적자']"
세화아이엠씨,"['특수 목적용 기계 제조업', '타이어 금형, 타이어 제조설비', '자동차부품', '세화', '아이', '타이어', '경제', '업체', '이엠씨', '기업']"
디케이앤디,"['플라스틱제품 제조업', '합성피혁 및 부직포', '섬유,의류,신발,호화품', '앤디', '디케이', '피혁', '합성', '생산', '제품', '공장']"
페이퍼코리아,"['펄프, 종이 및 판지 제조업', '제지(신문용지,중질지),합판 제조,건설,석유류 판매', '종이와목재', '코리아', '페이퍼', '경제', '차트', '한경', '감자', '데일리']"
케이알피앤이,"['알피', '케이', '에너지', '그린', '풍력', '발전', '대한']"
기산텔레콤,"['통신 및 방송 장비 제조업', '광모듈, 에코 켄슬러, 중계기, VoIP Server등', '통신장비', '텔레콤', '기산', '경제', '전일', '상승', '기사']"
엔지켐생명과학,"['기초 의약물질 및 생물학적 제제 제조업', 'EC-18(신약), 원료의약품', '제약', '과학', '생명', '엔지', '코로나', 'EC', '치료제', '임상']"
파트론,"['전자부품 제조업', '이동통신안테나및유전체필터류등', '핸드셋', '파트', '분기', '카메라', '연구원', '올해', '모듈', '경제']"
송원산업,"['기타 화학제품 제조업', '폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조', '화학', '경제', '산업', '송원', '기관', '외국인', '만주', '상승']"
덱스터,"['영화, 비디오물, 방송프로그램 제작 및 배급업', '시각효과(Visual Effect, VFX)', '방송과엔터테인먼트', '영화', '경제', '제작', 'VFX', '백두산', '수익', '스튜디오']"
심텍,"['전자부품 제조업', '반도체용 인쇄회로기판', '전자장비와기기', '심', '경제', '분기', '영업', '유상', '증자', '규모']"
